ocs_nome;ocs_tipo;ocs_contrato_numero;ocs_inicio_vigencia;ocs_termino_vigencia;especialidades;proc_codigo_dgp;proc_origem;proc_descricao;valor;tabela_referencia;descricao_grupo
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000447;OCS_LOCAL;Preço/dia;1.83;;Macro nebulizador Adulto
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000448;OCS_LOCAL;Preço/dia;1.83;;Macro Nebulizador Infantil
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000449;OCS_LOCAL;Preço/dia;1.83;;Macro Nebulizador à Frio
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000450;OCS_LOCAL;Preço/dia;1.77;;Macro Nebulizador Aquecido
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000451;OCS_LOCAL;Preço/dia;18.7;;Mesa Ortostática
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000452;OCS_LOCAL;Preço/dia;17.0;;Monitor APM STD 30
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000453;OCS_LOCAL;Preço/dia;15.0;;Monitor Cardíaco
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000454;OCS_LOCAL;Preço/dia;1.54;;Muleta Auxiliar Par
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000455;OCS_LOCAL;Preço/dia;1.54;;Muleta Canadense Par
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000456;OCS_LOCAL;Preço/dia;2.8;;Nebulizador inalatório
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000457;OCS_LOCAL;Preço/dia;168.0;;Nebulizador p/ traqueostomia
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000458;OCS_LOCAL;Preço/dia;168.0;;Nebulizador com Traquéia e Máscara
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000459;OCS_LOCAL;Preço/dia;9.0;;No break Estabilizador de Energia + bateria
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000460;OCS_LOCAL;Preço/dia;5.0;;Oxímetro de Pulso Elétrico Alarme 1003
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000461;OCS_LOCAL;Preço/dia;7.0;;Oxímetro de Pulso Elétrico Mesa 1000
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000462;OCS_LOCAL;Preço/dia;4.0;;Oxímetro de Pulso Portátil sem Alarme
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000463;OCS_LOCAL;Preço/dia;45.0;;Porta entrada para oxigênio
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000464;OCS_LOCAL;Preço/dia;2.84;;Quadro Balcânico
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000465;OCS_LOCAL;Preço/dia;30.0;;Respirador Bipap Breas PV 101
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000466;OCS_LOCAL;Preço/dia;30.0;;Respirador Bipap Breas PV 102
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000467;OCS_LOCAL;Preço/dia;15.0;;Respirador Bipap Pro 10
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000468;OCS_LOCAL;Preço/dia;15.0;;Respirador Bipap Quantum
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000469;OCS_LOCAL;Preço/dia;12.0;;Respirador Bipap STD 30
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000470;OCS_LOCAL;Preço/dia;45.0;;Respirador Bipap  Syncrony
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000471;OCS_LOCAL;Preço/dia;45.0;;Respirador Bipap Syncrony Avaps
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000472;OCS_LOCAL;Preço/dia;17.0;;Respirador Bipap Tranquility Bilevel
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000473;OCS_LOCAL;Preço/dia;12.0;;Respirador CPAP Polaris E Breas
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000474;OCS_LOCAL;Preço/dia;10.0;;Respirador CPAP Remstar
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000475;OCS_LOCAL;Preço/dia;90.0;;Respirador Sttelar 150 Avaps
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000476;OCS_LOCAL;Preço/dia;15.0;;Respirador CPAP Solo LX
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000477;OCS_LOCAL;Preço/dia;10.0;;Respirador E 150 Newport
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000478;OCS_LOCAL;Preço/dia;106.0;;Respirador Invent
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000479;OCS_LOCAL;Preço/dia;89.0;;Respirador Newport HT 50
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000480;OCS_LOCAL;Preço/dia;128.0;;Respirador Trilogy
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000481;OCS_LOCAL;Preço/dia;99.0;;Respirador Vivo 30
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000482;OCS_LOCAL;Preço/dia;100.0;;Respirador Vivo 40 Bi level
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000483;OCS_LOCAL;Preço/dia;0.68;;Saída dupla de oxigênio
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000484;OCS_LOCAL;Preço venda;120.0;;Sensor descartável de oxímetro
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000485;OCS_LOCAL;Preço venda;24.0;;Super set
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000486;OCS_LOCAL;Preço venda;140.0;;Suporte para máscara respironics
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000487;OCS_LOCAL;Preço/dia;0.77;;Suporte de soro Fixo
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000488;OCS_LOCAL;Preço/dia;0.77;;Suporte de soro móvel
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000489;OCS_LOCAL;Preço/dia;0.55;;Suporte para Bomba de Infusão
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000490;OCS_LOCAL;Preço/dia;1.67;;Suporte para respirador LTV 950
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000491;OCS_LOCAL;Preço/dia;2.0;;Torpedo de ar comprimido 6 m3
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000492;OCS_LOCAL;Preço/dia;2.0;;Torpedo de ar comprimido 10 m3
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000493;OCS_LOCAL;Preço/dia;2.0;;Torpedo de Oxigênio 1 m3
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000494;OCS_LOCAL;Preço/dia;2.0;;Torpedo de Oxigênio 3 m3
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000495;OCS_LOCAL;Preço/dia;2.0;;Torpedo de Oxigênio 4 m3
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000496;OCS_LOCAL;Preço/dia;2.0;;Torpedo de Oxigênio 6 m3
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000497;OCS_LOCAL;Preço/dia;2.0;;Torpedo de Oxigênio 8 m3
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000498;OCS_LOCAL;Preço venda;55.0;;Traquéia 22x22x180mm
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000499;OCS_LOCAL;Preço venda;205.0;;Traquéia 3 metros
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000500;OCS_LOCAL;Preço venda;155.0;;Traquéia pequena + Valvula exalatória
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000501;OCS_LOCAL;Preço venda;35.0;;Tubo T
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000502;OCS_LOCAL;Preço venda;42.0;;Umidificador com extensão
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000503;OCS_LOCAL;Preço/dia;1.1;;Umidificador Aquecido Base com Copo
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000504;OCS_LOCAL;Preço/dia;0.79;;Umidificador para O2
SÃO JOSE ASSISTÊNCIA A SAÚDE EIRELI - HOME CARE;OCS;11/2021;2021-09-15;2026-09-15;OUTROS;LOCAL-000505;OCS_LOCAL;Preço venda;38.0;;Válvula de exalação respironics
ONCOVIDA ONCO-HEMATOLOGIA LTDA;OCS;09/2024;2024-08-19;2034-06-19;OUTROS;LOCAL-000506;OCS_LOCAL;Sessão;51.05;;Patologia neurológica com dependência de atividades da vida diária
ONCOVIDA ONCO-HEMATOLOGIA LTDA;OCS;09/2024;2024-08-19;2034-06-19;OUTROS;LOCAL-000507;OCS_LOCAL;Sessão;73.8;;Patologia osteomioarticular em diferentes segmentos da coluna
ONCOVIDA ONCO-HEMATOLOGIA LTDA;OCS;09/2024;2024-08-19;2034-06-19;OUTROS;LOCAL-000508;OCS_LOCAL;Sessão;60.05;;Sessão de Patologia osteomioarticular em dois ou mais membros
ONCOVIDA ONCO-HEMATOLOGIA LTDA;OCS;09/2024;2024-08-19;2034-06-19;OUTROS;LOCAL-000509;OCS_LOCAL;Sessão;45.32;;Patologia osteomioarticular em um membro
ONCOVIDA ONCO-HEMATOLOGIA LTDA;OCS;09/2024;2024-08-19;2034-06-19;OUTROS;LOCAL-000510;OCS_LOCAL;Sessão;42.45;;Patologia osteomioarticular em um segmento da coluna
ONCOVIDA ONCO-HEMATOLOGIA LTDA;OCS;09/2024;2024-08-19;2034-06-19;OUTROS;LOCAL-000511;OCS_LOCAL;Sessão;47.61;;Patologias osteomioarticulares com dependência de atividades da vida diária
ONCOVIDA ONCO-HEMATOLOGIA LTDA;OCS;09/2024;2024-08-19;2034-06-19;OUTROS;LOCAL-000512;OCS_LOCAL;Sessão;65.4;;Psicologia
ONCOVIDA ONCO-HEMATOLOGIA LTDA;OCS;09/2024;2024-08-19;2034-06-19;OUTROS;LOCAL-000513;OCS_LOCAL;Sessão;54.5;;Fonoaudiologia
ONCOVIDA ONCO-HEMATOLOGIA LTDA;OCS;09/2024;2024-08-19;2034-06-19;OUTROS;LOCAL-000514;OCS_LOCAL;Sessão;49.03;;Terapia Ocupacional
ONCOVIDA ONCO-HEMATOLOGIA LTDA;OCS;09/2024;2024-08-19;2034-06-19;OUTROS;LOCAL-000515;OCS_LOCAL;Sessão;70.85;;Acupuntura
ASSOCIAÇÃO DE EQUOTERAPIA SAÚDE E EDUCAÇÃO TROTANDO EM FRENTE LTDA;OCS;16/2020;2021-07-13;2026-07-13;OUTROS;LOCAL-000516;OCS_LOCAL;Sessão;100.0;;Equoterapia
ASSOCIAÇÃO DE EQUOTERAPIA SAÚDE E EDUCAÇÃO TROTANDO EM FRENTE LTDA;OCS;16/2020;2021-07-13;2026-07-13;OUTROS;LOCAL-000517;OCS_LOCAL;Avaliação;60.0;;Fonoaudiologia
ASSOCIAÇÃO DE EQUOTERAPIA SAÚDE E EDUCAÇÃO TROTANDO EM FRENTE LTDA;OCS;16/2020;2021-07-13;2026-07-13;OUTROS;LOCAL-000518;OCS_LOCAL;Avaliação;60.0;;Fisioterapêuta
ASSOCIAÇÃO DE EQUOTERAPIA SAÚDE E EDUCAÇÃO TROTANDO EM FRENTE LTDA;OCS;16/2020;2021-07-13;2026-07-13;OUTROS;LOCAL-000519;OCS_LOCAL;Sessão;60.0;;Acupuntura
ASSOCIAÇÃO DE EQUOTERAPIA SAÚDE E EDUCAÇÃO TROTANDO EM FRENTE LTDA;OCS;16/2020;2021-07-13;2026-07-13;OUTROS;LOCAL-000520;OCS_LOCAL;Sessão;50.0;;RPG
ASSOCIAÇÃO DE EQUOTERAPIA SAÚDE E EDUCAÇÃO TROTANDO EM FRENTE LTDA;OCS;16/2020;2021-07-13;2026-07-13;OUTROS;LOCAL-000521;OCS_LOCAL;Sessão;60.0;;Psicoterapia
SERVASC CLÍNICA VASCULAR LTDA;OCS;22/2020;2021-07-13;2026-07-13;OUTROS;LOCAL-000522;OCS_LOCAL;Avaliação;85.0;;Psicologia
SERVASC CLÍNICA VASCULAR LTDA;OCS;22/2020;2021-07-13;2026-07-13;OUTROS;LOCAL-000523;OCS_LOCAL;Sessão;60.0;;Psicologia
ENDOCARD CLÍNICA MÉDICA D.B.F. LTDA;OCS;11/2020;2021-07-13;2026-07-13;OUTROS;LOCAL-000524;OCS_LOCAL;Avaliação;92.65;;Psicologia
ENDOCARD CLÍNICA MÉDICA D.B.F. LTDA;OCS;11/2020;2021-07-13;2026-07-13;OUTROS;LOCAL-000525;OCS_LOCAL;Sessão;65.4;;Psicologia
COE CENTRO DE OLHOS E ESPECIALIDADES;OCS;15/2020;2021-07-13;2026-07-13;OUTROS;LOCAL-000526;OCS_LOCAL;Consulta;89.44;;Consulta eletiva consultório
COE CENTRO DE OLHOS E ESPECIALIDADES;OCS;15/2020;2021-07-13;2026-07-13;OUTROS;LOCAL-000527;OCS_LOCAL;Avaliação;60.0;;Psicologia
COE CENTRO DE OLHOS E ESPECIALIDADES;OCS;15/2020;2021-07-13;2026-07-13;OUTROS;LOCAL-000528;OCS_LOCAL;Sessão;41.27;;Psicologia
PERSONALCLIN - PRESTAÇÃO DE SERVIÇOS DE SAÚDE EIRELI;OCS;13/2020;2021-07-02;2026-07-02;OUTROS;LOCAL-000529;OCS_LOCAL;Avaliação;45.0;;FONOAUDIOLOGIA
PERSONALCLIN - PRESTAÇÃO DE SERVIÇOS DE SAÚDE EIRELI;OCS;13/2020;2021-07-02;2026-07-02;OUTROS;LOCAL-000530;OCS_LOCAL;Sessão;45.0;;FONOAUDIOLOGIA
PERSONALCLIN - PRESTAÇÃO DE SERVIÇOS DE SAÚDE EIRELI;OCS;13/2020;2021-07-02;2026-07-02;OUTROS;LOCAL-000531;OCS_LOCAL;Consulta;45.0;;FISIOTERAPEUTA
PERSONALCLIN - PRESTAÇÃO DE SERVIÇOS DE SAÚDE EIRELI;OCS;13/2020;2021-07-02;2026-07-02;OUTROS;LOCAL-000532;OCS_LOCAL;Sessão;45.0;;FISIOTERAPEUTA
PERSONALCLIN - PRESTAÇÃO DE SERVIÇOS DE SAÚDE EIRELI;OCS;13/2020;2021-07-02;2026-07-02;OUTROS;LOCAL-000533;OCS_LOCAL;Sessão;45.0;;ACUPUNTURA
PERSONALCLIN - PRESTAÇÃO DE SERVIÇOS DE SAÚDE EIRELI;OCS;13/2020;2021-07-02;2026-07-02;OUTROS;LOCAL-000534;OCS_LOCAL;Sessão;200.0;;NEUROPSICOLOGIA
PERSONALCLIN - PRESTAÇÃO DE SERVIÇOS DE SAÚDE EIRELI;OCS;13/2020;2021-07-02;2026-07-02;OUTROS;LOCAL-000535;OCS_LOCAL;Sessão;50.0;;RPG
PERSONALCLIN - PRESTAÇÃO DE SERVIÇOS DE SAÚDE EIRELI;OCS;13/2020;2021-07-02;2026-07-02;OUTROS;LOCAL-000536;OCS_LOCAL;Avaliação;45.0;;PSICOLOGIA
PERSONALCLIN - PRESTAÇÃO DE SERVIÇOS DE SAÚDE EIRELI;OCS;13/2020;2021-07-02;2026-07-02;OUTROS;LOCAL-000537;OCS_LOCAL;Sessão;45.0;;PSICOLOGIA
CLÍNICA DE EMAGRECIMENTO E BEM ESTAR;OCS;18/2020;2021-07-22;2026-07-22;OUTROS;LOCAL-000538;OCS_LOCAL;Avaliação;65.0;;NUTRIÇÃO
CLÍNICA DE EMAGRECIMENTO E BEM ESTAR;OCS;18/2020;2021-07-22;2026-07-22;OUTROS;LOCAL-000539;OCS_LOCAL;Avaliação da composição corporal por bioimpedância;20.0;;NUTRIÇÃO
CLÍNICA DE EMAGRECIMENTO E BEM ESTAR;OCS;18/2020;2021-07-22;2026-07-22;OUTROS;LOCAL-000540;OCS_LOCAL;Consulta;65.0;;PSICOLOGIA
